sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms,predecessor_sku,fact_sheet_url,order_of_application_url,use_up_rate_months,previous_price,price_changed_at
10210750,TimeWise Matte 3D Foundation - Medium 10​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 10,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210751,TimeWise Matte 3D Foundation - Medium 11​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 11,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210752,TimeWise Matte 3D Foundation - Medium 12​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 12,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210753,TimeWise Matte 3D Foundation - Medium 13​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 13,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210740,TimeWise Matte 3D Foundation - Medium 14​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 14,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210754,TimeWise Matte 3D Foundation - Deep 1​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 1,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210755,TimeWise Matte 3D Foundation - Deep 2​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 2,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210756,TimeWise Matte 3D Foundation - Deep 3​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 3,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210757,TimeWise Matte 3D Foundation - Deep 4​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 4,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210758,TimeWise Matte 3D Foundation - Deep 5​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 5,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219466,TimeWise Matte 3D Foundation - Deep 6​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Deep 6,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
