sku,product_name,price,,,,
10252247,Mary Kay Chromafusion® Blush Hot Coral Shimmer ,14.00,,,,
10252251,Mary Kay Chromafusion® Blush Wineberry Shimmer ,14.00,,,,
10252256,Mary Kay Chromafusion® Contour Cocoa Matte,14.00,,,,
10252261,Mary Kay Chromafusion® Highlighter Honey Glow Shimmer,14.00,,,,
10252257,Mary Kay Chromafusion® Contour Latte Matte,14.00,,,,
10252260,Mary Kay Chromafusion® Highlighter Glazed Shimmer,14.00,,,,
10250193,Mary Kay Chromafusion® Eye Shadow Shiny Penny Shimmer,8.00,,,,
10250185,Mary Kay Chromafusion® Eye Shadow Dusty Rose Matte,8.00,,,,
10250191,Mary Kay Chromafusion® Eye Shadow Moonstone Shimmer,8.00,,,,
10250180,Mary Kay Chromafusion® Eye Shadow Biscotti Matte,8.00,,,,
10250194,Mary Kay Chromafusion® Eye Shadow Smoky Quartz Shimmer,8.00,,,,
10250190,Mary Kay Chromafusion® Eye Shadow Merlot Matte,8.00,,,,
10250183,Mary Kay Chromafusion® Eye Shadow Cinnabar Matte,8.00,,,,
10250192,Mary Kay Chromafusion® Eye Shadow Rose Gold Shimmer,8.00,,,,
10250188,Mary Kay Chromafusion® Eye Shadow Golden Mauve Shimmer,8.00,,,,
10250189,Mary Kay Chromafusion® Eye Shadow Hazelnut Matte,8.00,,,,
10250186,Mary Kay Chromafusion® Eye Shadow Espresso Matte,8.00,,,,
10250184,Mary Kay Chromafusion® Eye Shadow Crystalline Shimmer,8.00,,,,
10250182,Mary Kay Chromafusion® Eye Shadow Candlelight Shimmer,8.00,,,,
10250195,Mary Kay Chromafusion® Eye Shadow Sunlit Rose Shimmer,8.00,,,,
10250181,Mary Kay Chromafusion® Eye Shadow Blossom Matte,8.00,,,,
10250187,Mary Kay Chromafusion® Eye Shadow Gold Status Shimmer,8.00,,,,
10239154,Mary Kay® Waterproof Eyeliner Black Matte,14.00,,,,
10239155,Mary Kay® Waterproof Eyeliner Blue Matte,14.00,,,,
10239156,Mary Kay® Waterproof Eyeliner Steely Matte,14.00,,,,
10239151,Mary Kay® Waterproof Eyeliner Brown Matte,14.00,,,,
