sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10138754,White Tea & Citrus Satin Lips Shea Butter Balm,14.00,,,2026-04-08,White Tea & Citrus Satin Lips Shea Butter Balm,White Tea & Citrus Satin Lips Shea Butter Balm
10160886,Mary Kay Micellar Water,18.00,,,2026-04-08,Micellar Water,Micellar Water
10041758,Beauty Blotters Oil-Absorbing Tissues,8.00,,,2026-04-08,Beauty Blotters Oil-Absorbing Tissues,Beauty Blotters Oil-Absorbing Tissues
10072682,Mary Kay Extra Emollient Night Cream,18.00,,,2026-04-08,Extra Emollient Night Cream,Extra Emollient Night Cream
10031541,Mary Kay Intense Moisturizing Cream (Dry),36.00,,,2026-04-08,Intense Moisturizing Cream (Dry),Intense Moisturizing Cream (Dry)
10197545,Mary Kay Oil-Free Hydrating Gel (Normal/Grasa),36.00,,,2026-04-08,Oil-Free Hydrating Gel (Normal/Grasa),Oil-Free Hydrating Gel (Normal/Grasa)
10237287,Mary Kay Sunscreen Broad Spectrum SPF 50,30.00,,,2026-04-08,Sunscreen,Sunscreen
10152557,Mary Kay Makeup Finishing Spray by Skindinävia,20.00,,,2026-04-08,Makeup Finishing Spray by Skindinävia,Makeup Finishing Spray by Skindinävia
10210476,Mary Kay Multi-Benefit Concealer - Light 1,18.00,,,2026-04-08,Multi-Benefit Concealer - Light 1,Multi-Benefit Concealer
10210477,Mary Kay Multi-Benefit Concealer - Light 2,18.00,,,2026-04-08,Multi-Benefit Concealer - Light 2,Multi-Benefit Concealer
10210478,Mary Kay Multi-Benefit Concealer - Light 3,18.00,,,2026-04-08,Multi-Benefit Concealer - Light 3,Multi-Benefit Concealer
10210479,Mary Kay Multi-Benefit Concealer - Medium 1,18.00,,,2026-04-08,Multi-Benefit Concealer - Medium 1,Multi-Benefit Concealer
10210480,Mary Kay Multi-Benefit Concealer - Medium 2,18.00,,,2026-04-08,Multi-Benefit Concealer - Medium 2,Multi-Benefit Concealer
10210481,Mary Kay Multi-Benefit Concealer - Medium 3,18.00,,,2026-04-08,Multi-Benefit Concealer - Medium 3,Multi-Benefit Concealer
10210482,Mary Kay Multi-Benefit Concealer - Deep 1,18.00,,,2026-04-08,Multi-Benefit Concealer - Deep 1,Multi-Benefit Concealer
